1,Marktstr.,Soltau,29614,,,3
2,Hermann-Seidel-Str.,Dresden,1279,,,52
3,Rathausstr.,Bickenbach,56291,,,2
4,Am Schwarzenberg,Altenau,38707,,,4
5,Wilhelmshavenerstr.,NŸrnberg,90425,,,41
6,Salzgasse,MÃ¼nsingen,72525,,,12
7,Bergstr.,Burgberg,87545,,,22
8,RÃ¶merhÃ¼gel,Soltau,29614,0165/6551241,,141
9,Kevelaerer StraÃŸe,Heidekamp,23858,0150/4939179,,188
10,Genholter StraÃŸe,Bickenbach,56291,0178/2365868,,83
11,MarkusstraÃŸe,Altenau,38707,0165/1254617,,44
12,Am Bach,Soltau,29614,0173/8774761,,53
13,LudwigsteinstraÃŸe,Soltau,29614,0165/4084812,,54
14,Waldescher StraÃŸe,MÃ¼nsingen,72525,0175/6271904,,170
15,Alter MÃ¼nsterweg,MÃ¼nsingen,72525,0153/3991220,,153
16,Heilmannring,MÃ¼nsingen,72525,0175/5672449,,68
17,St.-Castor-StraÃŸe,Wolfsheim,55578,0164/2482386,,168
18,Eltener StraÃŸe,Burgberg,87545,0167/1968485,,147b
19,Im RÃ¶tchen,Wolfsheim,55578,0155/7870335,,45
20,Nordhang,Altenau,38707,0177/8489524,,165
21,Sterbecker StraÃŸe,Burgberg,87545,0179/6765347,,27
22,Birkhahnweg,Bickenbach,56291,0175/4473531,,89
23,Schelver Diek,Dresden,1279,0157/1293193,,29
24,UnterdorfstraÃŸe,Burgberg,87545,0179/9246470,,175
25,DunkerhofstraÃŸe,GÃ¼tersloh,33330,0172/6246478,,45
26,Lange Gasse,Ziegenhain,57632,0154/1835668,,185
27,Bruch,Heidekamp,23858,0173/9108123,,142
28,HoverstraÃŸe,Dresden,1279,0163/5307117,,70
29,Emmericher StraÃŸe,Ziegenhain,57632,0171/6405413,,62
30,Junkergrund,RodenÃ¤s,25924,0177/7129688,,177
31,Am Kaisersgarten,Heidekamp,23858,0177/4266466,,43
32,WuppermannstraÃŸe,Altenau,38707,0157/8147373,,85
33,Am Walde,Altenau,38707,0174/9530691,,95
34,Auf dem Damm,RodenÃ¤s,25924,0152/7392041,,118
35,Im HÃ¶fchen,Wolfsheim,55578,0162/1892412,,111
36,Dorfwiese,RodenÃ¤s,25924,0163/5436120,,64
37,Schlade,Hof an der Saale,95032,0154/8371110,,129
38,GolostraÃŸe,Heidekamp,23858,0165/6621126,,22
39,Auf der Huth,Dresden,1279,0162/5842370,,12
