1,Marktstr.,Soltau,29614,,08.06.20 17:41,3
2,Hermann-Seidel-Str.,Dresden,1279,,08.06.20 17:41,52
3,Rathausstr.,Bickenbach,56291,,08.06.20 17:41,2
4,Am Schwarzenberg,Altenau,38707,,08.06.20 17:41,4
5,Wilhelmshavenerstr.,Nürnberg,90425,,08.06.20 17:41,41
6,Salzgasse,Münsingen,72525,,08.06.20 17:41,12
7,Bergstr.,Burgberg,87545,,08.06.20 17:41,22
8,Römerhügel,Soltau,29614,0165/6551241,08.06.20 17:41,141
9,Kevelaerer Straße,Heidekamp,23858,0150/4939179,08.06.20 17:41,188
10,Genholter Straße,Bickenbach,56291,0178/2365868,08.06.20 17:41,83
11,Markusstraße,Altenau,38707,0165/1254617,08.06.20 17:41,44
12,Am Bach,Soltau,29614,0173/8774761,08.06.20 17:41,53
13,Ludwigsteinstraße,Soltau,29614,0165/4084812,08.06.20 17:41,54
14,Waldescher Straße,Münsingen,72525,0175/6271904,08.06.20 17:41,170
15,Alter Münsterweg,Münsingen,72525,0153/3991220,08.06.20 17:41,153
16,Heilmannring,Münsingen,72525,0175/5672449,08.06.20 17:41,68
17,St.-Castor-Straße,Wolfsheim,55578,0164/2482386,08.06.20 17:41,168
18,Eltener Straße,Burgberg,87545,0167/1968485,08.06.20 17:41,147b
19,Im Rötchen,Wolfsheim,55578,0155/7870335,08.06.20 17:41,45
20,Nordhang,Altenau,38707,0177/8489524,08.06.20 17:41,165
21,Sterbecker Straße,Burgberg,87545,0179/6765347,08.06.20 17:41,27
22,Birkhahnweg,Bickenbach,56291,0175/4473531,08.06.20 17:41,89
23,Schelver Diek,Dresden,1279,0157/1293193,08.06.20 17:41,29
24,Unterdorfstraße,Burgberg,87545,0179/9246470,08.06.20 17:41,175
25,Dunkerhofstraße,Gütersloh,33330,0172/6246478,08.06.20 17:41,45
26,Lange Gasse,Ziegenhain,57632,0154/1835668,08.06.20 17:41,185
27,Bruch,Heidekamp,23858,0173/9108123,08.06.20 17:41,142
28,Hoverstraße,Dresden,1279,0163/5307117,08.06.20 17:41,70
29,Emmericher Straße,Ziegenhain,57632,0171/6405413,08.06.20 17:41,62
30,Junkergrund,Rodenäs,25924,0177/7129688,08.06.20 17:41,177
31,Am Kaisersgarten,Heidekamp,23858,0177/4266466,08.06.20 17:41,43
32,Wuppermannstraße,Altenau,38707,0157/8147373,08.06.20 17:41,85
33,Am Walde,Altenau,38707,0174/9530691,08.06.20 17:41,95
34,Auf dem Damm,Rodenäs,25924,0152/7392041,08.06.20 17:41,118
35,Im Höfchen,Wolfsheim,55578,0162/1892412,08.06.20 17:41,111
36,Dorfwiese,Rodenäs,25924,0163/5436120,08.06.20 17:41,64
37,Schlade,Hof an der Saale,95032,0154/8371110,08.06.20 17:41,129
38,Golostraße,Heidekamp,23858,0165/6621126,08.06.20 17:41,22
39,Auf der Huth,Dresden,1279,0162/5842370,08.06.20 17:41,12
40,Lederstraße,Soltau,29614,0153/9483564,08.06.20 17:41,162
41,Kufsteiner Straße,Altenau,38707,0153/8078534,08.06.20 17:41,106
42,Werningslebener Straße,Dresden,1279,0161/1477266,08.06.20 17:41,22
43,Helle Bieke,Soltau,29614,0163/8916036,08.06.20 17:41,179
44,Fischbacher Straße,Soltau,29614,0164/4000719,08.06.20 17:41,173
45,In der Bitze,Heidekamp,23858,0159/4103197,08.06.20 17:41,118
46,St. Sebastian,Altenau,38707,0157/2342222,08.06.20 17:41,137
47,Am Hochkreuz,Dresden,1279,0177/4222442,08.06.20 17:41,66
48,Büdinger Straße,Nürnberg,90425,0173/9403523,08.06.20 17:41,150
49,Mörfelder Landstraße,Dresden,1279,0176/9730078,08.06.20 17:41,83
50,Maria-Theresia-Straße,Dresden,1279,0150/6118651,08.06.20 17:41,12
51,Riedgaustraße,Wolfsheim,55578,0153/5620689,08.06.20 17:41,185
52,Niederndorfer Straße,Soltau,29614,0176/8241018,08.06.20 17:41,194
53,Am Mühlenweg,Gütersloh,33330,0157/5401840,08.06.20 17:41,34
54,Hangstraße,Dresden,1279,0173/2711011,08.06.20 17:41,193a
55,Wiesenpfad,Wolfsheim,55578,0175/8146424,08.06.20 17:41,134
56,Höhenstraße,Münsingen,72525,0155/7637123,08.06.20 17:41,152
57,Hanfackerweg,Ziegenhain,57632,0171/5021170,08.06.20 17:41,102
58,Anne-Frank-Straße,Soltau,29614,0151/7998726,08.06.20 17:41,62
59,Sterbecker Straße,Rodenäs,25924,0153/8131402,08.06.20 17:41,98
60,Märchenweg,Wolfsheim,55578,0158/7390738,08.06.20 17:41,86
61,Jan-von-Werth-Straße,Soltau,29614,0165/9756926,08.06.20 17:41,93
62,Nauheimer Straße,Ziegenhain,57632,0170/3645058,08.06.20 17:41,82
63,Bergmannstraße,Ziegenhain,57632,0169/3799397,08.06.20 17:41,66
64,Bennauerstraße,Soltau,29614,0156/3706383,08.06.20 17:41,79
65,Am Seifen,Nürnberg,90425,0175/6907889,08.06.20 17:41,5
66,Am Bildchen,Heidekamp,23858,0177/8774006,08.06.20 17:41,156
67,Eversumer Straße,Münsingen,72525,0153/8630466,08.06.20 17:41,61
68,Neckarstraße,Altenau,38707,0175/6361822,08.06.20 17:41,155
69,Blütenstraße,Heidekamp,23858,0152/6942079,08.06.20 17:41,190
70,Kurt-Tucholsky-Straße,Münsingen,72525,0164/5066667,08.06.20 17:41,4
71,Strippchens Hof,Soltau,29614,0170/8952483,08.06.20 17:41,106
72,Merodestraße,Altenau,38707,0169/1286156,08.06.20 17:41,90
73,Mörikeweg,Heidekamp,23858,0157/3648300,08.06.20 17:41,36
74,Kaiserallee,Rodenäs,25924,0160/1952648,08.06.20 17:41,59
75,Virchowstraße,Gütersloh,33330,0164/2056914,08.06.20 17:41,57
76,Schelmenbühl,Heidekamp,23858,0172/7015947,08.06.20 17:41,80
77,Wiedehagen,Heidekamp,23858,0176/7536897,08.06.20 17:41,155
78,Tutweg,Rodenäs,25924,0165/5125244,08.06.20 17:41,76
79,Bergkamp,Münsingen,72525,0152/7320231,08.06.20 17:41,182
80,Stahlenhauser Straße,Heidekamp,23858,0160/5945138,08.06.20 17:41,47
81,Kraneburgstraße,Gütersloh,33330,0170/1455237,08.06.20 17:41,89
82,Kahrstraße,Ziegenhain,57632,0163/5723229,08.06.20 17:41,104
83,Hödenbuschweg,Wolfsheim,55578,0153/7318976,08.06.20 17:41,188
84,Vor den Eichen,Wolfsheim,55578,0179/6661563,08.06.20 17:41,165
85,Afelskreuzstraße,Ziegenhain,57632,0161/8057744,08.06.20 17:41,72
86,Rundstraße,Burgberg,87545,0177/5538983,08.06.20 17:41,68
87,Josefshausstraße,Dresden,1279,0161/4903693,08.06.20 17:41,144
88,Am Kapellenberg,Dresden,1279,0159/9936425,08.06.20 17:41,63
89,Ortenaustraße,Ziegenhain,57632,0176/3077115,08.06.20 17:41,191
90,Marienthaler Straße,Rodenäs,25924,0178/7873808,08.06.20 17:41,52
91,Siegburger Straße,Heidekamp,23858,0172/5831798,08.06.20 17:41,39
92,Schultenstraße,Dresden,1279,0152/5418223,08.06.20 17:41,81
93,Lehmweg,Burgberg,87545,0162/6871693,08.06.20 17:41,155
94,In der Burg,Wolfsheim,55578,0152/3250351,08.06.20 17:41,200
95,Westfälische Straße,Altenau,38707,0173/4880095,08.06.20 17:41,128
96,Lippborger Straße,Hof an der Saale,95032,0150/1378542,08.06.20 17:41,16
97,Burgunder Straße,Rodenäs,25924,0162/7210356,08.06.20 17:41,115
98,Hörster,Gütersloh,33330,0157/1835809,08.06.20 17:41,179
99,Rohrkamp,Heidekamp,23858,0172/5893588,08.06.20 17:41,171
100,Ludwigsallee,Hof an der Saale,95032,0158/1282933,08.06.20 17:41,175
101,Platanenweg,Bickenbach,56291,0160/4413182,08.06.20 17:41,138
102,An den Höfen,Bickenbach,56291,0159/4361742,08.06.20 17:41,7
103,Agnesstraße,Rodenäs,25924,0164/2793166,08.06.20 17:41,6
104,Bövingen,Dresden,1279,0171/3506653,08.06.20 17:41,175
105,Kobergstraße,Wolfsheim,55578,0166/4282964,08.06.20 17:41,11
106,Ehrenstraße,Proschim,3130,0171/7489337,08.06.20 17:41,108
107,Am Mühlenfeld,Burgberg,87545,0178/7451958,08.06.20 17:41,141
